5.1. Seberapa puas Anda terhadap Anda menilai kemampuan mentor dalam menjelaskan materi?,"5.2. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.3. Metode pembelajaran apa yang digunakan oleh mentor?,5.4. Seberapa puas Anda terhadap metode pembelajaran yang digunakan oleh mentor?,5.5. Seberapa puas Anda terhadap materi kelas Program GIKnowledge Building 2025?,"5.6. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.7. Apakah materi dan kegiatan yang diberikan sesuai dengan kebutuhan pengembangan Anda?,5.8. Apakah Program GIKnowledge Building membantu Anda memahami hal-hal baru yang relevan dengan rencana pekerjaan atau karier Anda?,5.9. Apakah Anda merasa lebih percaya diri setelah mengikuti program ini?,"5.10. Sejauh mana program ini memberi dampak positif bagi cara Anda bekerja, berpikir, atau berkolaborasi?",5.11. Bagaimana pendapat Anda tentang jadwal dan durasi setiap sesi?,5.12. Seberapa puas Anda terhadap fasilitas kelas GIKnowledge Building 2025?,"5.13. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.14. Seberapa puas Anda terhadap Tim GIK dalam memberikan bimbingan dan dukungan yang cukup selama  penyelenggaraan Program GIKnowledge Building 2025?,"5.15. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.16. Apa manfaat utama yang Anda rasakan setelah mengikuti program ini?,5.17. Apa hal terbaik dari Program GIKnowledge Building 2025 yang sebaiknya dipertahankan?,"5.18. Apakah ada topik, metode, atau aktivitas baru yang ingin Anda tambahkan pada pelaksanaan selanjutnya?","5.19. Berdasarkan level kepuasanmu terhadap keseluruhan pelaksanaan program sejauh ini, seberapa mungkin Anda memberi rekomendasi ke teman atau mahasiswa lain untuk mengikuti Program GIKnowledge Building?","5.20. Jika Anda menjawab ""Sangat direkomendasikan"", atau ""Direkomendasikan"" pada pertanyaan sebelumnya, Berikan alasan mengapa Anda bersedia merekomendasikan program GIKnowledge Building ini kepada teman atau mahasiswa lain?",5.21. Ceritakan pengalaman berkesan selama Anda mengikuti Program GIKnowledge Building!,5.22. Berikan saran perbaikan untuk pengembangan dan keberlanjutan Program GIKnowledge Building!
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mendapatkan informasi dan ilmu baru,reach out almuni,tentang demand,Direkomendasikan,karena bermanfaaat,mendapatkan ilmu baru dari speaker,sudah bagus
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Saya menjadi lebih tau praktik di perusahaan mitra seperti apa dan saya senang karena insight yg disalurkan disini sangat relevan dengan prodi saya. Ini juga mengembangkan criticall thingking saya,Program interaktif dengan adanya presentasi yang melatih public speaking dan daya nalar kita,Topik lainnya adalah tentang byproduct dari kelapa sawit yang bisa dieksplor lebih dalam,Sangat direkomendasikan,Ini sangat bermanfaat terutama jika semester atas yang sangat terbuka dengan jejaring profesionalitas. Sangat rekomendasi karena tidak hanya soft skill tetapi hardskill dan insight baru untuk kami bekerja ,Presentasi dengan tema share service yang dimana kelompok saya yang menjadi kelompok terbaik. Berkesan karena ini melatih eksplorasi saya di bidang agroindustri,Semakin lebih banyak mitra yang ditawarkan mungkin bisa dari BUMN
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Manfaat utama saat ini yaitu memberikan pengalaman baru yang harapannya nanti ini bisa saya aplikasikan juga ke depannya. ,Adanya program mentoring seperti ini perlu wajib ada malah di perbanyak dan dibuka seterusnya dari jenjang apa pun maupun alumni,Mungkin berkaitan dengan pelatihan pelatihan strategis untuk jenjang S2 juga. ,Direkomendasikan,Menjadi salah satu cara menambah bekal kompetensi ke depan. ,Cara penyampaian mentor yang cukup menarik. ,Memang menjadi tantangan tersendiri saat kelasnya berada di hari yang masih memungkinan adanya pelaksanaan kuliah. Jadi perlu dipikirkan strategi strategi lainnya yang bisa mewujudkan hal ini
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Meningkatkan rasa percaya diri,Mitra yang sudah memiliki nama,-,Netral,N/A,-,Perbanyak mitra
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Memdapatkan ilmu baru & sertifikat,Kelas interaktif yg berdampak nyata,Contebt creation,Sangat direkomendasikan,Bermanfaat,Waktu live langsung sampe bawa baju sendiri untuk produk jualan,Lebih banyak merch hehe
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Memahami konsep sebuah industri bekerja,Pola kegiatan yang terkonsep,-,Netral,-,Ngerjakan capstoneeee,-
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mengerti bagaimana menggunakan fiture AI lebih mendalam untuk mengerjakan tugas lebih efektif,"Iya, namun diperkuas lagi untuk perusahaan yang terlibat",Bahasa program yang melakukan analisis data,Netral,N/A,"Pada openingnya membuat hal yang tadinya tidak tau, menjadi tahu  ",Kerjasama perusahaan lebih banyak lagi dan ternama
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Tentunya menambah pengetahuan dan wawasan lebih luas terkait sektor pertanian yg mendukung keberlanjutan lingkungan, yg mana hal itu merupakan salah satu minat saya dalam studi di UGM","Speakernya keren banget & dpt membuat kelas tdk membosankan, hal itu membuat saya semakin termotivasi untuk terus berjuang seperti beliau-beliau","So far so good 👍🏻 semua metode sudah ada selama pelaksanaan GIKnowledge Building, ceramah, diskusi, kegiatan interaktif, dll",Sangat direkomendasikan,"Karena dengan mengikuti kelas GIKnowledge Building, ilmu yg diberikan oleh speaker tdk dpt diakses sembarangan, sehingga hal tsb dapat menambah wawasan dan meningkatkan pemahaman terkait materi2 (apabila sudah pernah baca, nah di GIKnowledge Building materinya digali lebih dalam). Selain itu, mitra yg saya pilih selaras dgn prodi saya, sehingga sangat bermanfaat dalam melakukan penelitian atau kepentingan studi di masa yg akan datang","Speakernya keren sekali shg meningkatkan motivasi untuk menggapai tujuan saya, serta pesertanya aktif2 yg juga membuat saya tergugah untuk dapat ikut lebih aktif & kritis","All good, belum ada kritik 👍🏻"
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Memahami dengan baik di balik perusahaan mitra yang selama ini hanya saya pahami sebagai dunia virtual di internet. Hal ini memberikan kesadaran serta pemahaman baru dalam diri saya, terutama mengenai dunia kerja.","Pelaksanaan yang interaktif dan dua arah, sehingga peserta dapat memahami materi lebih jelas. ditambah dengan kegiatan simulasi yang membuat peserta semakin paham atas materi yang diberikan",-,Direkomendasikan,"Karena program ini memberikan kesadaran dan pemahaman yang cukup komprehensif bagi mahasiswa untuk lebih siap di dunia kerja. Kesadaran menurut saya sangat penting untuk dibangun, dibuat, dan dilakukan, terutama bagi para generasi Z guna siap menghadapi dunia pasca-graduate.","Bertemu dengan teman-teman yang memiliki visi serupa, berkoneksi, dan menjalin jejaring. I also glad that i met a lot of talented people, especially Kak Fariz and Kak Dea as lecturer in perusahaan mitra GIKnowledge Building Program. Beside that, I learn a lot as well. I don’t think I would experience this such opportunity outside GIKnowledge Building Program. ",-
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"akhirnya bisa merasakan dan mengerti apa yg terjadi di belakang layar, khususnya di Livestreaming perusahaan mitra",ada praktiknya,"mungkin durasi waktunya ditambah lagi menjadi seminggu, karena menurut saya terlalu singkat jika dilakukan 3 hari",Direkomendasikan,N/A,sangat senang karena ternyata banyak regulasi yg harus di patuhi saat live berlangsung,"sudah bagus, mungkin durasi pelatihannya saja ditambah"
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Netral,Tim GIK kurang responsif dan/atau informatif,"Mendapatkan insight baru khususnya terkait consumer insight, demand dan juga penentuan grup persona (bagian dari PID)",-,-,Netral,N/A,"Mendapatkan insight baru dari expert perusahaan mitra langsung, menambah relasi baik dari pihak perusahaan mitra ataupun sesama mahasiswa ugm lintas jurusan","Saya izin memberikan saran terkait materi yang dipaparkan sebaiknya lebih mudah untuk diakses oleh peserta, mungkin selalu diupdate di google class ataupun di share di grup GIKnowledge Building. Terimakasih"
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Relasi dan memperbesar knowledge,Tempat belajar yang nyaman dan koordinator yang supportif,Belum terpikirkan,Sangat direkomendasikan,Menambah wawasan ke sesuatu yang lebih practice dan applicable di lapangan,Sangat menyenangkan,Tambah waktunya dong
Netral,Pertanyaan tidak relevan,Diskusi,Netral,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mendapatkan relasi,Membuka kelas khusus pengembangan softskill,-,Direkomendasikan,Karena mendapatkan ilmu yang bisa berguna,Materi yang diberikan mudah dipahami,-
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Tidak puas,Tim GIK kurang responsif dan/atau informatif,"Saya jadi berani untuk bertanya di kelas, biasanya selama kuliah jarang bertanya. Saya juga jadi lebih memahami tanaman sawit dan potensinya.",Narasumber yang berkualitas,Belum ada,Sangat direkomendasikan,"Bermanfaat untuk menambah pengetahuan, meningkatkan daya berpikir kritis dan melihat dari berbagai sudut pandang, meningkatkan keberanian untuk berpendapat.","Saya senang saat diberikan kesempatan untuk bertanya, bertemu orang hebat di GIKnowledge Building",Perbanyak kesempatan magang
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Lebih percaya diri dan semangat,Opening ceremony dan practice hands on,Dibuat magang berkelanjutan,Direkomendasikan,"Ilmu yang berharga, relasi","Saat live streaming, barangku malah ketinggalan di rumah. Waktu itu di rumah ga ada orang, kalau balik cukup memakan waktu PP 1,5 jam. Karena waktunya mepet keburu ujian gabisa buka WA, aku chat minta tolong mama yg baru di luar kota untuk chat orang lain siapapun bantu masuk rumah, kukasih clue lokasi barangku dan alamat untuk gosend. Lalu kutinggal ujian. Kebetulan laptopku susah banget verifikasinya jadi molorr ikut ujiannya. Agak kedistract pikiran barang yang ketinggalan dan kondisi laptopku tapi kukerjain berusaha setenang mungkin. Dan syukur ujian soal bisa lulus, barang juga nyampai GIK, walaupun struggle harus lari muterin 3 titik satpam karena barangku digosend ke satpam tanpa tau satpam mana hehe. Dari situ aku belajar pentingnya kepercayaan, problem solving, dan doa pastinya hehe. Jangan sampe lupa lagiii","Sudah oke, terima kasihh kesempatan dan pengalaman yang asik"
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,lebih mengetahui problem langsung perusahaan,pilihan perusahaan,tidak,Netral,N/A,mendapatkan account executive yang rama dan materi langsung dari owner perusahaan,lebih terstruktur lagi
Puas,Netral,Diskusi,Puas,Puas,Netral,Ya,Ya,Ya,Berdampak,Cukup/ideal,Netral,",",Puas,",",Saya mengetahui upstream dan downstream perusahaan,Koordinasi dgn mitra,Kunjungan lapangan sepertinya menarik,Netral,N/A,Sama sama saling paham terkait upstream dimana itu sangat relevan dgn prodi saya,Koordinasi sudah bagus
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Saya merasa lebih percaya diri menghadapi dunia AI,Pembelajaran yang menarik,Free course AI untuk dasar,Direkomendasikan,Karena dampaknya langsung terasa bagi peserta,Selama sesi saya menemukan teman dengan latarbelakang beragam dengan minat belajar yang sama,Pertama dibuat grup yang akan bersama teruss sampe akhir pembelajaran
Netral,Pertanyaan tidak relevan,Diskusi,Puas,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,ilmu yang dibagikan saat program menunjang kegiatan saya,mitra yang relevan,coba untuk lebih banyak praktek dibandingkan dengan penjelasan teori,Netral,N/A,saat ujian praktek yang menurut saya sangat relevan untuk dapat menguji kemampuan mahasiswa dalam hal public speaking and marketing,"sebaiknya coba buat kelas lebih efektif lagi dengan metode praktek yang lebih banyak, buat durasi pembelajaran lebih lama agar ilmu dan prakteknya lebih banyak yang terserap ke mahasiswa. Buka kesempatan untuk magang bagi mereka yang terpilih/terbaik, agar program ini juga ada keberlanjutannya"
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,mendapat wawasan lebih ,baik sekali,belum ada,Direkomendasikan,N/A,baik,semoga lebih baik
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,punya pandangan lain tentang dunia kerja,"openingnya seru, ada gamaband juga wkwk",-,Netral,N/A,saya mendapat pengetahuan baru,-
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Tim GIK kurang responsif dan/atau informatif,Saya dapat mengenal perusahaan mitra lebih dalam dan berkenalan dengan perjalanan karir menjadi host perusahaan mitra live,"Mitra yang relevan, simulasi wawancara pekerjaan dengan hrd mitra",Penyediaan properti pendukung simulasi,Direkomendasikan,"Karena acaranya seru dan pemberi materinya interaktif, menambah ilmu baru",Ngelive langsung jadi host perusahaan mitra,Menambahkan stop kontak di ruang GIKnowledge Building
Sangat puas,Pertanyaan tidak relevan,Kunjungan lapangan,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mendapatkan relasi dan ilmu ,Materi dari CEO/direktur perusahaan,-,Sangat direkomendasikan,Akan bermanfaat untuk mereka,Mendapatkan materi dari direktur PT perusahaan mitra,-
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Banyaj sekali manfaat yang saya terima terurama pada aspek bagaimana menjadi host yang baik dan benar seta memahami bagaimana aplikasi perusahaan mitra bekerja,Panitia yang responsif dan informatif,-,Sangat direkomendasikan,Karena dari segi akomodasi dan panitia sudah bagus,Ketika kumpul bersama orang baru dan menjalin relasi bersama mereka dan mempelajari materi baru tentang bagaimana menjadi host dan teknis aplikasi perusahaan mitra itu membuat saya berkesan selama mengikuti program GIKnowledge Building,-
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Tidak,Tidak,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Lebih memahami dunia marketing.,Partner dari perusahaan notable.,Tidak ada.,Netral,N/A,Mengikuti kelas interaktif yang dibawakan praktisi.,-
Puas,Pertanyaan tidak relevan,Diskusi,Netral,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Lebih mengerti tentang AI,Mengundang tokoh-tokoh yang sudah bekerja di bidang professional.,Tugas yang dikerjakan secara rutin tiap kelas. ,Sangat direkomendasikan,Karena ini membantu untuk mengembangkan skill. ,"Saya mengenal banyak mahasiswa yang ternyata sudah menggunkan  AI bukan hanya untuk ChatGPT saja, tapi sudah membuat AI agen untuk membantu perkuliahannya. ","Tiap kelas ada tugas atau quiz, agar dapat merefresh kembali apa yang sudah dipelajari dan menerapkannnya secara langsung. "
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Netral,Pertanyaan tidak relevan,Ya,Ya,Tidak,Netral,Cukup/ideal,Puas,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,lebih tahu dinamika membangun bisnis dan brand suatu perusahaan,kegiatan interaktif dan diskusinya,kunjungan perusahaan,Netral,N/a,"baru ikut offline sekali, dan beberapa online, yang berkesan mungkin bagaimana program ini mengajarkan kita untuk bisa berpikir dan mengambil keputusan dalam waktu singkat.","jadwal sebaiknya tidak berubah-ubah, karna jika berubah2 sgt mungkin bertabrakan dgn jadwal kelas mahasisw sehingga tidak semua peserta dpt hadir"
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,"Pertanyaan tidak relevan, ",Sangat puas,Pertanyaan tidak relevan,saya bisa mempelajari ilmu baru mengenai bisnis perusahaan mitra,diskusi offline, company visit,Sangat direkomendasikan,N/A,saat diskusi offline ,selanjutnya boleh dong compay visit ke perusahaan mitra
